Date,User,Tweet,Polarity,Sentiment
2022-05-22 23:38:31+00:00,KemensetnegRI,5 Meski demikian Presiden optimistis dalam dua pekan ke depan harga minyak goreng di pasaran sudah sesuai dengan yang diharapkan oleh pemerintah Presiden juga bersyukur dengan harga beras yang relatif stabil dan stok beras yang mencukupi,0.0,Neutral
2022-05-22 23:38:30+00:00,KemensetnegRI,4 Presiden mengakui telah memutuskan beberapa kebijakan untuk mengatasi persoalan tersebut dengan menghentikan ekspor minyak goreng Setelah ekspor disetop harga tandan sawit jatuh dan ini terkait dengan 17 juta orang tenaga kerja baik sebagai petani maupun pekerja,0.0,Neutral
2022-05-22 23:35:00+00:00,jaksapedia,Saya memutuskan bahwa ekspor minyak goreng akan dibuka kembali pada Senin 23 Mei 2022 Presiden Alasannya Pak Jokowi petani dan pekerja di industri sawit siap kawal kebijakn ini TTM Sikatmafiamigor,0.0,Neutral
2022-05-22 23:20:05+00:00,PrampokPrt,Haiiii ekokuntadhi Kok kalian ngk brisik minyak goreng di sisir lampir Apa Karna dia dekat si bangkeeeee,0.0,Neutral
2022-05-22 20:59:15+00:00,rumahhijau81,Pak kalau ngurus Minyak Goreng aja ngga becus apalagi nguurusin Rakyat Mafia sudah tertangkap tapi di pasar minyak masih mahal,0.0,Neutral
2022-05-22 19:46:41+00:00,Clara63454767,bellamy Jgn di ganggu KAPOLRI nya dia lg senang Export minyak goreng di buka lagi,0.0,Neutral
2022-05-22 15:45:08+00:00,Petercumicumi1,Kadang bingung begal dimana mana bukan diurusin yg diurusin malahan soal minyak goreng dan hal2 yg tdk ada korelasi dgn tugas kepolisian,0.0,Neutral
2022-05-22 15:20:56+00:00,Hybridcars9,Anda minta presiden mundur karena minyak goreng Rakyat mana yang disuruh urus Anda kurang literasi ya,0.0,Neutral
2022-05-22 14:14:17+00:00,IbuRusun,Presiden Joko Widodo memerintahkan aparat hukum untuk mengusut tuntas mafia yang mengeduk keuntungan di balik kelangkaan minyak goreng,0.0,Neutral
2022-05-22 14:12:33+00:00,rakyatmu98,lawan minyak goreng z gk mampu uraaaaa,0.0,Neutral
2022-05-22 13:40:24+00:00,kurniawaneko,1872 C1R3N6 Masih seputar minyak goreng,0.0,Neutral
2022-05-22 13:12:00+00:00,KompasTV,Presiden meyakini bahwa harga minyak goreng curah akan kembali terjangkau Hal ini ia sampaikan saat memberikan keterangan pers terkait pembukaan kembali ekspor minyak goreng Kamis 19 5 Selengkapnya di,0.0,Neutral
2022-05-22 12:26:24+00:00,hrmnt80,Presiden memerintahkan aparat hukum untuk terus melakukan penyelidikan dan memproses hukum para pelaku yang bermain main dengan minyak goreng yang dampaknya mempersulit rakyat merugikan rakyat,0.16666666666666666,Positive
2022-05-22 12:15:09+00:00,PebriAgusta,Gimana tambang nikel sama emas kalau minyak goreng aja susah Mundur woy,0.0,Neutral
2022-05-22 11:49:37+00:00,Yasoo_1996,Disini masih 20 ribu pa per liter minyak kemasan 24 rbu perliter tolong di perhatikan lagi pa kebijakannya walaupun bapa sudah melarang ekspor cpo tapi harga minyak goreng tak kunjung turun,0.0,Neutral
2022-05-22 11:11:58+00:00,UntungSekali,Harga Minyak Goreng apa kabar Pak Menteri Betah ya Pak Jadi Menteri Ingat Pak Fasilitas yg Bapak Gunakan ada dari Pajak Rakyat ya Pak Bapak kerja dong untuk Rakyat Betulkan Pak Presiden,0.0,Neutral
2022-05-22 10:32:34+00:00,ray_luccaa,Persoalan minyak goreng akan mudah diatasi jika jadi sekjen PBB,0.0,Neutral
2022-05-22 10:32:23+00:00,ronavioleta,Kunci nya selalu 2 Minggu ya pak Panggil programmer 2 Minggu beres Target Corona selesai dalam 2 Minggu Tapi semua hasil nya sll zonk SMG yg minyak goreng 8ni ga zonk ya pak Jokowi Ramal Harga Minyak Goreng Rp 14 000 per Liter dalam Dua Pekan,0.0,Neutral
2022-05-22 10:29:57+00:00,Minang_cyber,Karna kau TOLOL dan GOBLOK lah maka nya ngak mudah Ngapain kau subsidi pengusaha Ngapain kau pelihara Mafia minyak goreng di istana Anggaran subsidi untuk pengusaha kau buat perusahan pengelolaan minyak goreng milik selesai tuh semua Mafia,0.0,Neutral
2022-05-22 10:16:17+00:00,SolitudeDialog1,Bapak Presiden Yang Terhormat mau tidak jila di istana makanannya diolah dgn minyak goreng curah,0.0,Neutral
2022-05-22 10:10:33+00:00,RFauzy5,Kalau bandingkan Harga Minyak Goreng di USA dan UK Tolong Bandingkan juga dgn Sikap Mereka yang kalau sudah tidak Mampu Menjadi Pemimpin ya harus Mundur Mahal nya MiGor Krn ketidakmampuan memimpin Negeri ini,0.0,Neutral
2022-05-22 09:55:27+00:00,Milamariamey,Presiden bersama Ibu Iriana meninjau Pasar Muntilan Kab Magelang Jawa Tengah 21 05 2022 Setibanya di pasar Presiden bersama Ibu Iriana langsung mengecek harga minyak goreng curah jokowi,0.0,Neutral
2022-05-22 09:53:35+00:00,HHSYIHAB1,Berbagai berita harga migor curah msh tinggi di atas 14 000 dan kata Presiden akan kembli normal Jadi blm normal Tujuan larangan ekspor CPO agar harga MIGOR turun skrg ekspor CPO dibuka kbali agar harga minyak goreng juga turun Hal yg bertentangan agar MIGOR turun Ambyar,0.15,Positive
2022-05-22 09:51:05+00:00,HHSYIHAB1,Berbagai berita harga migor curah msh tinggi di atas 14 000 dan kata Presiden akan kembli normal Jadi blm normal Tujuan larangan ekspor CPO agar harga MIGOR turun skrg ekspor CPO dibuka kbali agar harga minyak goreng juga turun Hal yg bertentangan agar MIGOR turun Ambyar,0.15,Positive
2022-05-22 09:28:51+00:00,BombomWa1,kalo bisa lebih murah lagi pak bukan tidak mampu beli tapi kebutuhan terbagi bukan unt minyak goreng saja,0.0,Neutral
2022-05-22 09:26:59+00:00,Fahrudi22549774,Minyak goreng saat ini masih mahal,0.0,Neutral
2022-05-22 09:24:48+00:00,giewhydi,Kemarin Pak Jokowi didampingi Bu Iriana mengecek harga minyak goreng curah di Pasar Muntilan Kabupaten Magelang Ini berapa harganya Bu tanya Pak kepada Titin Suryani pemilik kios yang berjualan sembako Kalau 1 liter Rp14 500 1 kilo Rp15 000 jawab Bu Titin,0.0,Neutral
2022-05-22 09:21:15+00:00,OrogeSarkaC,nyuwunsewu pak intinya harga minyak goreng tetep tinggi tokh amp minyak goreng yg dahulu langka shg banyak ibu2 ngantri kini melimpah ruah nggih,0.0,Neutral
2022-05-22 09:07:00+00:00,holopiscom,residen Jokowi curhat mengenai keluh kesahnya serta kesulitannya saat menangani persoalan minyak goreng di dalam negeri MinyakGoreng MafiaMigor,0.0,Neutral
2022-05-22 09:04:33+00:00,Revenge00810455,Pemerintah resmi merilis Program MigorRakyat atau Minyak Goreng Rakyat pada Selasa 17 5 Program ini menekankan pada transaksi eceran langsung kepada penerima manfaat yaitu kelompok masyarakat berpendapatan rendah,0.0,Neutral
2022-05-22 08:37:03+00:00,Jeeepeeeeee,Silalahi Itulah nalar logika seorang pemimpin bangsa yg sangat mengkhawatirkan jika gagal mengatur harga minyak goreng amp bbm lalu berdalih membandingkan dgn negara lain Perlu ada nya PERUBAHAN BOLEH BBM amp MINYAK GORENG SAMAKAN SAMA SINGAPORE TAPI GAJI MINIMUM UPAH SAMAKAN JUGA,0.0,Neutral
2022-05-22 08:24:30+00:00,LppanRi,Jika ekspor CPO penyebab kelangkaan minyak goreng di Indonesia maka Pemerintah harus stop kembali ekspor nya tetapi jika pemangku kepentingan Penguasa di Negeri ini mampu menciptakan solusi silahkan buka kembali ekspor CPO nya,0.0,Neutral
2022-05-22 07:56:12+00:00,justice191270,dumdum Urusin aja sembako utk Harga standar jgn muluk ngomong yg lain Minyak goreng yg secuil aja jalan ditempat bukan begitu Pade jokowi,0.0,Neutral
2022-05-22 07:47:55+00:00,missdiah2,Hemat gak beli kuota buat ngetwit Hemat buat bayar PPN 11 Hemat buat beli minyak goreng dan gorengan Hemat buat beli esemka NGOK,0.0,Neutral
2022-05-22 07:42:57+00:00,Bima89009178,VADUKA Lah koruptor paling banyak kan terjadi di era si owi Harun masiku apa kabar Mafia minyak goreng orang dekat dia lagi Katanya koruptor ketar ketir di tangan Jokowi tapi yang tertangkap orang2 dekat dia aja dari parta nya paling banyak,0.0,Neutral
2022-05-22 07:17:07+00:00,SilvesterSibrow,nuraeni123 Yg ditanya minyak goreng curah Bu Bukan kemasan,0.0,Neutral
2022-05-22 06:43:25+00:00,lightmotive,Meski demikian Presiden Jokowi optimistis dalam dua pekan ke depan harga minyak goreng di pasaran sudah sesuai dengan yang diharapkan oleh pemerintah di paragraf selanjutnya katanya kuncinya sudah ketemu tp vibenya mirip2 big data krn ga diungkapkan kuncinya apa,0.0,Neutral
